country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
United States,USA,Athletics,Men's Discus Throw,Joseph,BROWN,1996-06-13,28,Male,187.0,0.0,none
United States,USA,Athletics,Women's 4 x 400m Relay,Kaylyn,BROWN,2004-12-31,19,Female,167.0,0.0,gold
United States,USA,Athletics,4 x 400m Relay Mixed,Kaylyn,BROWN,2004-12-31,19,Female,167.0,0.0,silver
United States,USA,Athletics,Men's 5000m,Graham,BLANKS,2002-04-24,22,Male,182.0,0.0,none
United States,USA,Athletics,Men's 100m,Kenneth,BEDNAREK,1998-10-14,25,Male,187.0,0.0,none
United States,USA,Athletics,Men's 200m,Kenneth,BEDNAREK,1998-10-14,25,Male,187.0,0.0,silver
United States,USA,Athletics,Men's 4 x 100m Relay,Kenneth,BEDNAREK,1998-10-14,25,Male,187.0,0.0,none
United States,USA,Athletics,Men's Long Jump,Malcolm,CLEMONS,2002-03-08,22,Male,180.0,0.0,none
United States,USA,Athletics,Men's 4 x 400m Relay,Matthew,BOLING,2000-06-20,24,Male,183.0,0.0,none
United States,USA,Athletics,Women's 800m,Nia,AKINS,1998-07-07,26,Female,167.0,0.0,none
United States,USA,Athletics,Men's 400m Hurdles,Rai,BENJAMIN,1997-07-27,26,Male,190.0,0.0,gold
United States,USA,Athletics,Men's 4 x 400m Relay,Rai,BENJAMIN,1997-07-27,26,Male,190.0,0.0,gold
United States,USA,Athletics,Men's Shot Put,Ryan,CROUSER,1992-12-18,31,Male,200.0,0.0,gold
United States,USA,Athletics,Women's Heptathlon,Taliyah,BROOKS,1995-02-08,29,Female,173.0,0.0,none
United States,USA,Athletics,Women's 4 x 100m Relay,Tamari,DAVIS,2003-02-15,21,Female,170.0,0.0,gold
United States,USA,Athletics,Women's Long Jump,Tara,DAVIS-WOODHALL,1999-05-20,25,Female,160.0,0.0,gold
United States,USA,Athletics,Men's 400m Hurdles,Trevor,BASSITT,1998-02-26,26,Male,193.0,0.0,none
United States,USA,Athletics,Women's Discus Throw,Valarie,ALLMAN,1995-02-23,29,Female,185.0,0.0,gold
United States,USA,Athletics,Women's 3000m Steeplechase,Valerie,CONSTIEN,1996-03-21,28,Female,167.0,0.0,none
United States,USA,Athletics,Women's High Jump,Vashti,CUNNINGHAM,1998-01-18,26,Female,185.0,0.0,none
Brazil,BRA,Shooting,Skeet Women,Georgia,FURQUIM BASTOS,1996-12-20,27,Female,0.0,0.0,none
